episode,step,total_steps,reward,action_0,action_1,value,logprob,agent_id,done
0,0,0,0.0,-1.2233342,0.34461746,[0.02871816],[-2.7067633],0,False
0,0,0,0.0,-0.7148922,0.5529529,[0.02275119],[-2.3012087],1,False
0,0,0,0.0,-0.9991216,1.0256745,[0.03134025],[-2.9587774],2,False
0,0,0,0.0,-0.007909186,-0.034663804,[0.05121977],[-1.8390052],3,False
0,0,0,0.0,0.8104137,-2.1233733,[0.03707899],[-4.2695723],4,False
0,0,0,0.0,-0.36898988,-0.020801594,[0.01737429],[-1.9158306],5,False
0,0,0,0.0,1.1882455,-2.5417778,[0.04475903],[-5.587407],6,False
0,0,0,0.0,1.7607806,-0.44835478,[0.05861063],[-3.39804],7,False
0,0,0,0.0,-1.0565832,2.754031,[0.05846601],[-6.3559527],8,False
0,0,0,0.0,1.0621814,-1.2678356,[0.04494175],[-3.1080532],9,False
0,0,0,0.0,0.5978563,-0.31492776,[0.05673102],[-2.0313978],10,False
0,0,0,0.0,2.143827,-0.3960036,[0.05861063],[-4.112652],11,False
0,1,1,0.002937317,1.2992859,0.21039398,[0.03766754],[-2.6567297],0,False
0,1,1,-1.6469483,-0.09133507,-1.2378384,[0.02906365],[-2.5640752],1,False
0,1,1,-2.2471008,-1.432459,-1.1066002,[0.04644282],[-3.4637892],2,False
0,1,1,-2.25,0.33986008,-0.6953117,[0.07374664],[-2.0869856],3,False
0,1,1,0.0,0.16479899,-0.59214544,[0.06808669],[-1.9872062],4,False
0,1,1,0.0,-0.872933,-0.04392627,[0.0274791],[-2.2478237],5,False
0,1,1,0.75,0.9893474,-1.2543179,[0.07139469],[-3.0019698],6,False
0,1,1,0.75,-0.31787434,-0.7635259,[0.07097448],[-2.154015],7,False
0,1,1,0.0029754639,-1.1205391,-1.1069046,[0.07861226],[-3.060317],8,False
0,1,1,0.0,-0.6187018,1.0060824,[0.06037366],[-2.613657],9,False
0,1,1,0.0,-0.27839416,0.73478365,[0.0726859],[-2.2097979],10,False
0,1,1,3.0,0.4522205,0.739455,[0.07097448],[-2.2390628],11,False
0,2,2,0.015068054,-0.31239972,-0.31638098,[0.04612722],[-1.934826],0,False
0,2,2,-2.2392426,1.9211419,-0.67093873,[0.04450076],[-3.7930853],1,False
0,2,2,-2.2391663,1.152862,3.2001169,[0.05233684],[-7.7721868],2,False
0,2,2,3.0,-0.6003585,0.62771577,[0.07472295],[-2.2797046],3,False
0,2,2,0.0,-0.057473797,-0.40217197,[0.06382962],[-1.8989928],4,False
0,2,2,0.0,0.06408039,1.8962426,[0.03729783],[-3.730561],5,False
0,2,2,0.75,1.1455667,-1.2149053,[0.07123629],[-3.1162536],6,False
0,2,2,0.75,0.38514188,0.715546,[0.08054502],[-2.194858],7,False
0,2,2,0.01083374,0.34706956,0.21854402,[0.08037461],[-1.9264095],8,False
0,2,2,0.0029754639,2.1855688,2.4907415,[0.06774696],[-7.3357043],9,False
0,2,2,0.0030136108,0.25478426,0.36890987,[0.08084325],[-1.9493047],10,False
0,2,2,3.0029373,-0.34619585,-0.30198914,[0.07376379],[-1.9422514],11,False
0,3,3,0.023231506,-0.6129322,-1.3598648,[0.04983724],[-2.8983724],0,False
0,3,3,2.256256,0.027946854,-0.2517988,[0.04282428],[-1.8574554],1,False
0,3,3,3.0105286,0.04456384,-0.9898355,[0.06454941],[-2.2578847],2,False
0,3,3,-2.2469864,-0.36050415,0.68604046,[0.07803302],[-2.1929674],3,False
0,3,3,0.0,-1.1959454,-0.4124909,[0.0631655],[-2.6585224],4,False
0,3,3,0.00289917,-0.5949466,-0.26262277,[0.04164327],[-2.0651474],5,False
0,3,3,0.75,0.5311971,0.05777222,[0.07125683],[-1.9681191],6,False
0,3,3,0.75297546,-1.0654508,-0.28806686,[0.07470084],[-2.4650407],7,False
0,3,3,0.010604858,0.93707544,0.011721391,[0.07363752],[-2.2414455],8,False
0,3,3,0.015029907,0.38494202,-0.6864113,[0.05656236],[-2.0970662],9,False
0,3,3,0.01499176,0.07886416,-0.448976,[0.07763187],[-1.9183469],10,False
0,3,3,-2.9892044,-1.458856,-0.93705446,[0.08046367],[-3.3370802],11,False
0,4,4,0.018730164,0.47948918,0.9564041,[0.04937329],[-2.4530735],0,False
0,4,4,2.7015257,1.4929987,1.9551604,[0.04455019],[-4.899497],1,False
0,4,4,3.018158,-0.69379336,-0.6769037,[0.05769537],[-2.2974253],2,False
0,4,4,-2.5350084,-2.0016663,-0.98847175,[0.07809188],[-4.3423204],3,False
0,4,4,0.0,0.21309607,-0.24594726,[0.06051967],[-1.8740134],4,False
0,4,4,0.01083374,0.2904384,-0.46743658,[0.03920485],[-1.9568696],5,False
0,4,4,0.75297546,1.0025578,-1.146053,[0.07190341],[-2.896442],6,False
0,4,4,0.46075746,-2.6558886,0.24752247,[0.08257924],[-5.5178385],7,False
0,4,4,0.018157959,1.5672727,-1.9109213,[0.0674302],[-4.729871],8,False
0,4,4,0.023117065,0.7152195,-0.8317266,[0.06148911],[-2.37703],9,False
0,4,4,0.0233078,1.4908669,0.2863924,[0.07898382],[-2.9468837],10,False
0,4,4,-2.5436296,-0.46839023,-0.663018,[0.08255357],[-2.1459022],11,False
0,5,5,0.01777649,-2.4572754,-1.2870046,[0.04993689],[-5.710044],0,False
0,5,5,3.0028992,-0.3169815,0.7039151,[0.04284177],[-2.194829],1,False
0,5,5,-2.9112673,0.051604994,0.11913314,[0.05263781],[-1.8551891],2,False
0,5,5,-2.5267305,-0.91608673,-0.42346865,[0.07882722],[-2.3557625],3,False
0,5,5,0.0,0.6169656,1.045071,[0.06402075],[-2.6342416],4,False
0,5,5,0.0064086914,-2.1632807,-1.5422637,[0.04117377],[-5.3541245],5,False
0,5,5,0.010757446,0.88985157,-0.49670947,[0.07126812],[-2.2954373],6,False
0,5,5,0.46052858,0.018521974,-1.2187871,[0.08263963],[-2.5230489],7,False
0,5,5,0.013656616,0.9214404,0.7379161,[0.06711319],[-2.5430036],8,False
0,5,5,0.018844604,-1.7711742,-0.2876237,[0.05836378],[-3.4929144],9,False
0,5,5,0.023002625,-0.9659547,2.1634014,[0.07295708],[-4.8060203],10,False
