episode,step,total_steps,reward,action_0,action_1,value,logprob,agent_id,done
0,0,0,0.0,-2.3274946,0.2739542,[0.03158274],[-4.7721896],0,False
0,0,0,0.0,1.3891051,0.45189747,[0.04204331],[-2.7518218],1,False
0,0,0,0.0,1.4379662,-1.1943368,[0.02160469],[-3.565166],2,False
0,0,0,0.0,1.0521265,0.757419,[0.03158274],[-2.534072],3,False
0,0,0,0.0,1.394692,1.4028556,[0.02293381],[-3.5744765],4,False
0,0,0,0.0,0.51560974,0.6142923,[0.03678711],[-2.0765738],5,False
0,0,0,0.0,0.6345895,-0.6773807,[0.02819841],[-2.2791157],6,False
0,0,0,0.0,-0.25580442,-0.33179286,[0.03327984],[-1.979873],7,False
0,0,0,0.0,-1.191601,-0.8685066,[0.03592624],[-3.0921683],8,False
0,0,0,0.0,-0.6202502,0.83604187,[0.04294471],[-2.3843093],9,False
0,0,0,0.0,1.5567573,-0.8664928,[0.03016385],[-3.350428],10,False
0,0,0,0.0,1.2174224,0.79480994,[0.03327984],[-2.7252479],11,False
0,1,1,-1.6469865,0.9838698,-0.69122916,[0.04751364],[-2.5214033],0,False
0,1,1,0.75305176,-0.7627016,2.8735664,[0.02665679],[-6.114921],1,False
0,1,1,3.0,0.9564967,0.26779312,[0.0162711],[-2.2350385],2,False
0,1,1,3.0030136,-2.7229857,0.7726887,[0.03584766],[-5.995778],3,False
0,1,1,0.60293734,1.399529,0.13948537,[0.02114506],[-2.708366],4,False
0,1,1,0.00289917,0.40326944,-0.8653748,[0.02102038],[-2.3550692],5,False
0,1,1,0.0,-1.6025574,0.01808082,[0.036663],[-3.267246],6,False
0,1,1,0.75,-0.5127118,-1.1367784,[0.04922529],[-2.7313318],7,False
0,1,1,0.0,-0.1997633,-1.4838979,[0.04996682],[-3.0684505],8,False
0,1,1,0.0029754639,0.75070405,2.5542114,[0.05132527],[-5.168643],9,False
0,1,1,0.0,-0.93469226,0.5394114,[0.03800537],[-2.4652524],10,False
0,1,1,3.0029373,-1.3207675,1.2174186,[0.04131215],[-3.4778318],11,False
0,2,2,2.2607956,-0.61806834,0.87859344,[0.05457158],[-2.3918986],0,False
0,2,2,0.7649536,0.21626154,0.36508054,[0.04797374],[-1.8885137],1,False
0,2,2,2.7030518,1.2363327,-1.2743192,[0.03522994],[-3.4284863],2,False
0,2,2,-2.2350082,0.25459784,-0.3562638,[0.05609283],[-1.9393651],3,False
0,2,2,0.015029907,-1.3880302,-1.2558466,[0.04100633],[-3.8110476],4,False
0,2,2,0.01083374,-0.1698071,-1.1671524,[0.04242332],[-2.6569223],5,False
