episode,step,total_steps,reward,action_0,action_1,value,logprob,agent_id,done
0,0,0,0.0,0.52471596,-0.5849529,[0.03830176],[-2.161696],0,False
0,0,0,0.0,0.069130525,1.0495899,[0.03975224],[-2.4337087],1,False
0,0,0,0.0,0.7538119,-2.4689908,[0.03580755],[-5.127093],2,False
0,0,0,0.0,0.8260041,-1.6448181,[0.04074921],[-3.5375426],3,False
0,0,0,0.0,3.4072912,0.92892873,[0.03539725],[-8.451858],4,False
0,0,0,0.0,-0.7448014,-1.7110008,[0.03890519],[-3.4945467],5,False
0,0,0,0.0,-2.5915372,-0.15394874,[0.0388696],[-5.0136695],6,False
0,0,0,0.0,-0.1864268,1.6017116,[0.03885151],[-3.165697],7,False
0,0,0,0.0,1.3761066,-0.63884234,[0.03884957],[-3.0746198],8,False
0,0,0,0.0,1.3980265,-0.8407255,[0.03480422],[-3.257876],9,False
0,0,0,0.0,-0.15638846,-1.5150992,[0.03919131],[-2.9916797],10,False
0,0,0,0.0,2.0385773,0.5134795,[0.03745617],[-4.210122],11,False
0,1,1,2.1000001,0.5953609,0.043446958,[0.02594464],[-2.0663776],0,False
0,1,1,0.0021362305,0.78711253,-1.9393015,[0.03978638],[-4.0715747],1,False
0,1,1,0.0,0.7919913,1.3969238,[0.01535628],[-3.2007565],2,False
0,1,1,1.875,-0.786398,-1.5123178,[0.01306247],[-3.2118516],3,False
0,1,1,0.0005722046,2.1643124,-0.5726631,[0.01290569],[-4.509971],4,False
0,1,1,0.0,0.8274509,-0.06500158,[0.04684707],[-2.2433543],5,False
0,1,1,0.0,1.1694876,-0.28157958,[0.03200367],[-2.6749084],6,False
0,1,1,-2.252594,-0.45429257,0.12881753,[0.01875478],[-1.9178872],7,False
0,1,1,0.75,1.5572382,1.3389779,[0.02659347],[-4.128509],8,False
0,1,1,0.0,0.31002316,-2.2525263,[0.04148994],[-4.375862],9,False
0,1,1,0.0,0.8409578,-0.7568462,[0.01635733],[-2.5193892],10,False
0,1,1,-0.002117157,0.744619,-1.190827,[0.03068794],[-2.8478718],11,False
0,2,2,2.2477112,-0.21295136,0.03753432,[0.01906242],[-1.8498455],0,False
