episode,step,total_steps,reward,action_0,action_1,value,logprob,agent_id,done
0,0,0,0.0,-0.11525239,0.18001753,-0.011230869,[-1.846498],0,False
0,0,0,0.0,-0.53726417,0.5205742,-0.009396259,[-2.0751517],1,False
0,0,0,0.0,-0.43508488,0.11481193,-0.010739373,[-1.9337523],2,False
0,0,0,0.0,1.5202315,-0.23161939,-0.081811704,[-3.0451186],3,False
0,0,0,0.0,1.2027094,1.3816066,-0.053791784,[-3.4217877],4,False
0,0,0,0.0,0.39866605,-1.210168,-0.050758027,[-2.765276],5,False
0,0,0,0.0,0.029828023,-0.64200044,-0.048419166,[-2.086688],6,False
0,0,0,0.0,-0.6484064,1.187865,-0.03578469,[-2.6980462],7,False
0,0,0,0.0,0.5626921,1.1027632,-0.031889938,[-2.5423784],8,False
0,0,0,0.0,-0.29262877,-0.15340239,-0.010333609,[-1.903465],9,False
0,0,0,0.0,0.52577287,-1.3713219,-0.01039188,[-3.0063047],10,False
0,0,0,0.0,-2.1408646,0.33134544,0.002923564,[-4.1878395],11,False
0,1,1,-17.049406,0.1911339,-0.12907223,-0.010939483,[-1.8785737],0,False
0,1,1,4.950595,-0.20873286,1.0457202,-0.0115752295,[-2.3311317],1,False
0,1,1,-0.049397275,-1.5052687,1.346808,-0.012047339,[-3.7329454],2,False
0,1,1,-0.049999997,0.9045695,-1.6800313,-0.07976268,[-3.8245761],3,False
0,1,1,19.950579,-2.0368974,1.0076894,-0.0510353,[-4.4022765],4,False
0,1,1,4.95,0.13096055,0.33127862,-0.047115497,[-1.8827966],5,False
0,1,1,4.95,0.3749248,-0.44023678,-0.04480263,[-2.0513692],6,False
0,1,1,-9.049405,-0.69357044,2.2676563,-0.03489905,[-4.461993],7,False
0,1,1,9.450594,-0.32578295,0.9509823,-0.030015249,[-2.2950907],8,False
0,1,1,-15.050001,-1.1543287,1.5813838,-0.010072054,[-3.6679316],9,False
0,1,1,5.95,-0.9316977,1.7501829,-0.011781361,[-3.6521616],10,False
0,1,1,-12.049406,1.1766357,0.056971934,-0.029232893,[-2.5386012],11,False
0,2,2,18.952135,0.7593763,-0.37303424,-0.015580345,[-2.2207236],0,False
0,2,2,4.952979,-0.21897286,-0.8688479,-0.016083352,[-2.2940254],1,False
0,2,2,-0.04699783,-0.00059275236,1.1559826,-0.017531952,[-2.4367518],2,False
0,2,2,-0.049999997,1.6093047,-0.40081248,-0.084530346,[-3.2723293],3,False
0,2,2,-15.04701,0.6827164,1.6216539,-0.05421909,[-3.2660735],4,False
0,2,2,1.9505951,0.12481616,0.97659224,-0.06307468,[-2.2442229],5,False
